name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
TOI-2000 c,TOI-2000,2023,Transit,175.71,9.1271,8.14,81.7,1038
TOI-908 b,TOI-908,2023,Transit,175.75,3.1838,3.19,16.14,1317
K2-352 b,K2-352,2021,Transit,176.05,3.6659,1.37,,1160
K2-352 d,K2-352,2021,Transit,176.05,14.8714,2.23,,727
K2-352 c,K2-352,2021,Transit,176.05,8.2349,1.92,,885
K2-317 b,K2-317,2020,Transit,176.29,6.22,2.93,,432
TOI-3693 b,TOI-3693,2022,Transit,176.44,9.0885,12.6,324.18,801
WASP-177 b,WASP-177,2019,Transit,176.82,3.0717,17.71,161.46,1142
TOI-1855 b,TOI-1855,2024,Transit,176.83,1.3641,18.49,360.1,1701
TOI-1273 b,TOI-1273,2024,Transit,177.12,4.6313,11.1,70.56,1211
WASP-42 b,WASP-42,2012,Transit,177.29,4.9817,12.58,167.5,1021
TOI-4010 b,TOI-4010,2023,Transit,177.5,1.3483,3.02,11.0,1441
TOI-4010 c,TOI-4010,2023,Transit,177.5,5.4147,5.93,20.31,907
TOI-4010 d,TOI-4010,2023,Transit,177.5,14.7089,6.18,38.15,650
K2-29 b,K2-29,2016,Transit,178.48,3.2588,13.34,232.02,1171
TOI-628 b,TOI-628,2021,Transit,178.68,3.4096,11.88,2011.86,1586
TOI-6038 A b,TOI-6038 A,2025,Transit,179.15,5.8267,6.41,78.5,1439
TOI-481 b,TOI-481,2020,Transit,179.37,10.3311,11.1,486.28,1370
K2-95 b,K2-95,2016,Transit,179.85,10.1346,3.31,,474
K2-37 c,K2-37,2016,Transit,179.94,6.4297,2.41,,839
K2-37 d,K2-37,2016,Transit,179.94,14.0923,2.31,12.5,646
K2-37 b,K2-37,2016,Transit,179.94,4.4434,1.39,,949
TOI-3757 b,TOI-3757,2022,Transit,181.14,3.4388,12.0,85.3,759
Qatar-2 b,Qatar-2,2011,Transit,181.37,1.3371,14.06,792.64,1344
EPIC 211945201 b,EPIC 211945201,2018,Transit,181.69,19.4922,5.76,,817
MASCARA-1 b,MASCARA-1,2017,Transit,182.27,2.1488,17.9,,2594
K2-43 c,K2-43,2019,Transit,182.54,2.1989,2.42,,1094
K2-43 b,K2-43,2016,Transit,182.54,3.4711,4.51,,939
K2-279 b,K2-279,2018,Transit,182.98,7.1226,1.21,,879
NGTS-35 b,NGTS-35,2025,Transit,183.08,25.2412,10.9,152.0,451
TOI-7009 b,TOI-7009,2026,Transit,184.12,2.3207,3.71,,872
WASP-50 b,WASP-50,2011,Transit,184.85,1.9551,13.07,466.83,1395
TOI-2537 b,TOI-2537,2024,Transit,184.99,94.1022,11.25,415.4,338
Kepler-10 c,Kepler-10,2011,Transit,185.51,45.2943,2.36,11.29,579
Kepler-10 b,Kepler-10,2011,Transit,185.51,0.8375,1.47,3.24,2188
K2-264 b,K2-264,2018,Transit,185.61,5.84,2.23,,496
K2-264 c,K2-264,2018,Transit,185.61,19.6603,2.67,,331
Qatar-1 b,Qatar-1,2010,Transit,185.62,1.42,12.81,411.27,1418
WASP-104 b,WASP-104,2014,Transit,185.93,1.7554,12.75,404.26,1516
EPIC 211822797 b,EPIC 211822797,2016,Transit,186.2,21.1702,1.92,,431
TOI-5573 b,TOI-5573,2025,Transit,186.56,8.7976,9.75,112.0,528
K2-101 b,K2-101,2016,Transit,188.33,14.6762,2.0,,618
TOI-5349 b,TOI-5349,2026,Transit,188.34,3.3179,10.2,127.4,719
KELT-10 b,KELT-10,2016,Transit,188.4,4.1663,15.68,215.81,1377
K2-100 b,K2-100,2016,Transit,188.96,1.6739,3.88,21.8,1841
TOI-4201 b,TOI-4201,2023,Transit,189.01,3.5819,13.67,788.21,725
K2-104 b,K2-104,2016,Transit,189.29,1.9742,1.79,,798
TIC 139270665 b,TIC 139270665,2024,Transit,189.88,23.624,7.23,147.15,703
NGTS-11 b,NGTS-11,2020,Transit,190.42,35.4553,9.16,109.33,435
CT Cha b,CT Cha,2007,Imaging,190.72,,24.66,5403.0,2600
TOI-2384 b,TOI-2384,2024,Transit,191.51,2.1357,11.49,624.85,890
K2-255 b,K2-255,2018,Transit,191.61,1.9642,2.9,,1034
TOI-1836 c,TOI-1836,2024,Transit,191.65,1.7727,2.6,8.0,2008
TOI-1836 b,TOI-1836,2024,Transit,191.65,20.3808,8.0,38.46,966
TOI-5786 b,TOI-5786,2025,Transit,192.48,12.7791,8.54,73.0,1040
K2-38 b,K2-38,2016,Transit,192.69,4.0159,1.54,7.3,1266
K2-38 c,K2-38,2016,Transit,192.69,10.561,2.29,8.3,916
TOI-4515 b,TOI-4515,2024,Transit,193.5,15.2664,12.17,637.0,705
WASP-76 b,WASP-76,2016,Transit,194.46,1.8099,20.78,284.14,2228
Kepler-22 b,Kepler-22,2011,Transit,194.64,289.8639,2.1,9.1,279
HATS-75 b,HATS-75,2021,Transit,194.96,2.7887,9.91,156.05,772
TOI-2989 b,TOI-2989,2025,Transit,195.8,3.1228,12.55,953.49,1001
HD 2685 b,HD 2685,2019,Transit,196.85,4.1269,16.14,371.86,2061
WASP-6 b,WASP-6,2009,Transit,197.12,3.361,12.54,148.43,1167
K2-158 b,K2-158,2018,Transit,197.3,10.0605,2.64,,794
K2-158 c,K2-158,2018,Transit,197.3,5.9028,1.28,,948
TOI-3568 b,TOI-3568,2024,Transit,197.91,4.418,5.3,26.4,899
K2-105 b,K2-105,2017,Transit,197.99,8.2673,3.4,15.4,805
WASP-123 b,WASP-123,2016,Transit,198.0,,15.13,,1500
TOI-2019 b,TOI-2019,2024,Transit,198.01,15.3444,5.33,34.4,917
TOI-2158 b,TOI-2158,2022,Transit,198.47,8.6008,10.76,260.62,1188
TOI-564 b,TOI-564,2020,Transit,199.58,1.6511,11.43,464.99,1714
TOI-5916 b,TOI-5916,2026,Transit,199.72,2.3671,11.35,226.61,683
TOI-2589 b,TOI-2589,2023,Transit,200.27,61.6277,12.11,1112.4,592
K2-111 b,K2-111,2017,Transit,200.39,5.3519,1.84,5.35,1293
TOI-1333 b,TOI-1333,2021,Transit,200.49,4.7202,15.65,753.26,1679
TOI-3288 b,TOI-3288,2025,Transit,200.5,1.4339,12.24,536.18,973
WASP-53 b,WASP-53,2017,Transit,201.34,3.3098,12.04,677.61,1053
K2-348 b,K2-348,2021,Transit,201.86,4.6884,3.26,,908
K2-348 c,K2-348,2021,Transit,201.86,12.5502,2.67,,655
TOI-1420 b,TOI-1420,2023,Transit,201.92,6.9561,11.89,25.1,957
HAT-P-19 b,HAT-P-19,2010,Transit,202.08,4.0088,11.3,88.04,981
HAT-P-68 b,HAT-P-68,2020,Transit,202.15,2.2984,12.02,230.11,1028
K2-5 b,K2-5,2015,Transit,202.94,5.7359,1.91,,565
K2-5 c,K2-5,2015,Transit,202.94,10.9324,2.26,,456
TOI-5007 b,TOI-5007,2026,Transit,203.35,2.5434,11.07,211.04,774
K2-180 b,K2-180,2018,Transit,203.9,8.8657,2.47,11.41,798
TOI-5027 b,TOI-5027,2025,Transit,204.43,10.2437,10.76,642.01,1056
KELT-9 b,KELT-9,2017,Transit,204.46,1.4811,21.2,915.35,4050
TOI-4145 A b,TOI-4145 A,2023,Transit,205.39,4.0664,13.31,136.67,1074
TOI-5005 b,TOI-5005,2024,Transit,207.89,6.3085,6.25,32.7,1040
K2-342 b,K2-342,2021,Transit,208.36,11.5611,2.03,,861
K2-319 b,K2-319,2020,Transit,209.07,26.68,2.79,,641
TOI-2368 b,TOI-2368,2024,Transit,210.92,5.175,10.84,206.59,1000
WASP-45 b,WASP-45,2011,Transit,211.2,3.1261,10.6,306.39,1153
TOI-2379 b,TOI-2379,2024,Transit,211.25,5.4694,11.72,1830.69,624
K2-226 b,K2-226,2018,Transit,211.27,3.2711,1.54,,1187
WASP-25 b,WASP-25,2010,Transit,211.42,3.7648,13.81,179.26,1217
K2-331 c,K2-331,2021,Transit,211.43,22.9966,2.72,,673
K2-331 b,K2-331,2021,Transit,211.43,9.399,1.79,,909
WASP-149 b,WASP-149,2025,Transit,211.73,1.3328,15.24,314.97,1855
WASP-20 b,WASP-20,2015,Transit,211.88,,15.47,,1362
HATS-37 A b,HATS-37 A,2020,Transit,211.9,4.3315,6.79,31.47,1085
TOI-6651 b,TOI-6651,2024,Transit,212.13,5.057,5.09,61.0,1493
WASP-139 b,WASP-139,2016,Transit,212.47,5.9243,8.97,37.19,910
K2-244 b,K2-244,2018,Transit,212.9,21.0688,1.75,,638
XO-3 b,XO-3,2007,Transit,213.05,3.1915,14.8,4217.58,1890
TOI-4961 b,TOI-4961,2025,Transit,213.07,7.4792,12.34,572.09,919
Kepler-1655 b,Kepler-1655,2018,Transit,213.26,11.8729,2.21,5.4,938
K2-261 b,K2-261,2018,Transit,213.28,11.6335,9.27,68.97,1036
Qatar-9 b,Qatar-9,2019,Transit,213.77,1.5407,11.31,378.22,1134
WASP-39 b,WASP-39,2011,Transit,213.98,4.0553,14.34,89.31,1166
WASP-154 b,WASP-154,2025,Transit,215.5,3.8117,10.76,198.96,994
TOI-4600 b,TOI-4600,2023,Transit,216.06,82.6869,6.8,959.84,347
TOI-4600 c,TOI-4600,2023,Transit,216.06,482.8191,9.42,2946.27,191
TIC 434398831 c,TIC 434398831,2025,Transit,217.01,6.2103,5.63,,1050
TIC 434398831 b,TIC 434398831,2025,Transit,217.01,3.6855,3.51,,1250
TOI-3331 A b,TOI-3331 A,2022,Transit,217.19,2.018,12.98,721.47,1488
KELT-4 A b,KELT-4 A,2016,Transit,218.05,2.9896,19.04,286.68,1823
NGTS-1 b,NGTS-1,2017,Transit,218.12,2.6473,14.91,258.08,790
Kepler-19 b,Kepler-19,2011,Transit,218.56,9.287,2.21,6.1,851
TOI-2364 b,TOI-2364,2023,Transit,219.61,4.0198,8.61,71.51,1091
TOI-6130 b,TOI-6130,2024,Transit,220.88,2.3927,14.35,333.72,1750
TOI-3135 b,TOI-3135,2025,Transit,221.67,3.7066,13.65,327.36,1292
K2-192 b,K2-192,2018,Transit,221.75,4.1628,1.52,,939
WASP-70 A b,WASP-70 A,2014,Transit,222.36,3.713,13.05,187.51,1387
TOI-332 b,TOI-332,2023,Transit,222.85,0.777,3.2,57.2,1871
TOI-1842 b,TOI-1842,2021,Transit,223.47,9.5739,12.35,89.4,1200
TOI-4603 b,TOI-4603,2023,Transit,225.64,7.246,11.68,4096.81,1677
TOI-2876 b,TOI-2876,2025,Transit,225.74,6.2996,9.64,54.03,929
TOI-1518 b,TOI-1518,2021,Transit,225.89,1.9026,21.05,581.63,2546
TOI-5688 A b,TOI-5688 A,2024,Transit,226.32,2.9482,10.3,124.0,742
KELT-17 b,KELT-17,2016,Transit,226.5,3.0802,17.09,416.36,2087
TOI-3593 b,TOI-3593,2025,Transit,226.63,3.8213,11.03,565.73,1170
HAT-P-16 b,HAT-P-16,2010,Transit,226.64,,14.68,,1566
TOI-1753 b,TOI-1753,2024,Transit,226.67,5.3846,2.48,16.6,1005
K2-254 b,K2-254,2018,Transit,227.78,4.0964,1.63,,791
K2-254 c,K2-254,2018,Transit,227.78,12.1184,2.19,,551
K2-274 b,K2-274,2018,Transit,228.33,14.133,2.08,,655
K2-252 b,K2-252,2018,Transit,228.84,13.8151,1.74,,639
TOI-1789 b,TOI-1789,2021,Transit,229.07,3.2087,16.14,222.48,1927
HATS-22 b,HATS-22,2017,Transit,229.52,4.7228,10.68,870.85,858
TOI-1439 b,TOI-1439,2024,Transit,230.31,27.644,4.24,38.5,748
Kepler-454 b,Kepler-454,2015,Transit,230.87,10.5738,2.37,5.4,916
TOI-2328 b,TOI-2328,2025,Transit,231.78,17.102,9.98,50.85,842
EPIC 201595106 b,EPIC 201595106,2021,Transit,232.1,0.8772,1.57,7.67,2038
K2-295 b,K2-295,2018,Transit,232.8,4.0249,10.05,106.47,852
WASP-173 A b,WASP-173 A,2018,Transit,232.98,1.3867,13.45,1172.79,1880
HAT-P-60 b,HAT-P-60,2021,Transit,233.22,4.7948,18.28,182.43,1772
K2-329 b,K2-329,2020,Transit,233.24,12.4551,8.68,82.64,650
TOI-559 b,TOI-559,2021,Transit,233.27,6.9839,12.23,1910.15,1180
K2-220 b,K2-220,2018,Transit,233.51,13.6819,2.37,,761
XO-7 b,XO-7,2019,Transit,234.15,2.8641,15.39,225.34,1743
XO-6 b,XO-6,2016,Transit,235.48,3.765,23.2,1398.45,1577
TOI-2107 b,TOI-2107,2024,Transit,236.71,2.4545,13.57,263.8,1397
NGTS-30 b,NGTS-30,2024,Transit,238.38,98.2984,10.4,305.12,500
TOI-954 b,TOI-954,2020,Transit,238.77,3.685,9.55,55.3,1526
K2-336 b,K2-336,2021,Transit,239.29,21.1947,1.22,,569
HATS-7 b,HATS-7,2015,Transit,240.71,3.1853,6.31,38.14,1084
TOI-4155 b,TOI-4155,2025,Transit,240.74,3.3207,3.21,,1255
Kepler-1994 b,Kepler-1994,2023,Transit,241.99,4.6123,0.51,,1032
K2-189 b,K2-189,2018,Transit,242.11,2.5881,1.4,,1203
K2-189 c,K2-189,2018,Transit,242.11,6.6793,2.31,,877
EPIC 205950854 c,K2-168,2019,Transit,243.94,8.0507,1.31,,961
K2-168 b,K2-168,2018,Transit,243.94,15.8523,1.86,,766
EPIC 220674823 b,EPIC 220674823,2016,Transit,244.59,0.5713,1.61,7.54,2324
EPIC 220674823 c,EPIC 220674823,2016,Transit,244.59,13.3406,2.71,7.9,838
HATS-5 b,HATS-5,2014,Transit,246.38,4.7634,10.22,75.32,1025
WASP-79 b,WASP-79,2012,Transit,246.69,3.6624,17.15,270.15,1716
K2-197 b,K2-197,2018,Transit,247.64,8.3579,2.56,,848
TOI-1199 b,TOI-1199,2024,Transit,248.43,3.6715,10.51,75.96,1486
HATS-33 b,HATS-33,2016,Transit,248.46,2.5496,13.79,378.85,1429
TOI-1820 b,TOI-1820,2022,Transit,248.5,4.8607,12.78,731.01,1375
TOI-7510 b,TOI-7510,2025,Transit,249.01,11.5309,7.31,18.1,878
TOI-7510 c,TOI-7510,2025,Transit,249.01,22.5687,10.81,131.0,702
TOI-7510 d,TOI-7510,2025,Transit,249.01,48.8645,10.52,190.0,542
TOI-3862 b,TOI-3862,2026,Transit,249.02,1.5575,5.53,53.7,1539
K2-27 b,K2-27,2016,Transit,249.65,6.7713,4.74,30.2,836
KELT-14 b,KELT-14,2016,Transit,250.12,1.7101,19.54,408.09,1970
TOI-858 B b,TOI-858 B,2023,Transit,250.49,3.2797,14.07,349.61,1529
KOI-984 b,KOI-984,2022,Transit,252.67,4.2882,4.3,,1022
TIC 4672985 b,TIC 4672985,2024,Transit,253.39,69.048,11.5,4049.13,517
WASP-180 A b,WASP-180 A,2019,Transit,253.99,3.4093,13.9,286.05,1540
HAT-P-38 b,HAT-P-38,2012,Transit,255.21,4.6404,9.25,84.86,1082
K2-79 b,K2-79,2016,Transit,256.01,10.995,4.15,5.9,1033
K2-208 b,K2-208,2018,Transit,256.89,4.191,1.67,,1122
K2-247 b,K2-247,2018,Transit,258.11,2.2502,2.12,,979
K2-247 c,K2-247,2018,Transit,258.11,6.4942,2.19,,688
WASP-108 b,WASP-108,2020,Transit,258.78,,15.13,,1589
K2-389 b,K2-389,2022,Transit,259.21,8.5829,2.33,,932
Kepler-1876 b,Kepler-1876,2021,Transit,259.94,6.9921,0.85,2.4,1299
TOI-2196 b,TOI-2196,2022,Transit,259.95,1.1947,3.51,26.0,1860
WASP-163 b,WASP-163,2018,Transit,261.39,1.6097,13.47,594.34,1638
TOI-4406 b,TOI-4406,2023,Transit,261.83,30.0836,11.21,95.35,904
TOI-2109 b,TOI-2109,2021,Transit,262.04,0.6725,15.1,1595.5,3646
KPS-1 b,KPS-1,2018,Transit,262.71,1.7063,11.55,346.43,1459
TOI-813 b,TOI-813,2020,Transit,263.15,83.8911,6.71,,610
HATS-48 A b,HATS-48 A,2020,Transit,263.61,3.1317,8.97,77.23,955
K2-57 b,K2-57,2016,Transit,264.21,9.0073,2.31,,636
HAT-P-59 b,HAT-P-59,2021,Transit,265.47,4.142,12.59,489.46,1278
K2-243 c,K2-243,2018,Transit,266.86,24.946,2.01,,801
K2-243 b,K2-243,2018,Transit,266.86,11.5418,2.17,,1035
WASP-4 b,WASP-4,2007,Transit,267.21,1.3382,15.12,381.39,1653
WASP-19 b,WASP-19,2009,Transit,268.33,0.7888,15.86,366.77,2113
K2-185 c,K2-185,2018,Transit,268.36,52.7135,2.39,,477
K2-185 b,K2-185,2018,Transit,268.36,10.6164,1.15,,809
K2-353 b,K2-353,2021,Transit,268.52,15.4668,5.55,,735
K2-419 A b,K2-419 A,2024,Transit,268.69,20.3585,10.55,196.0,377
K2-73 b,K2-73,2016,Transit,269.18,7.4956,2.58,9.2,968
WASP-121 b,WASP-121,2016,Transit,269.9,1.2749,19.53,371.86,2409
WASP-83 b,WASP-83,2015,Transit,271.1,4.9713,11.66,95.35,1120
HD 56414 b,HD 56414,2022,Transit,272.22,29.0499,3.71,,1133
K2-211 b,K2-211,2018,Transit,272.3,0.6696,1.33,,1873
K2-10 b,K2-10,2015,Transit,272.36,19.3055,3.77,25.2,649
K2-290 b,K2-290,2019,Transit,272.91,9.2117,3.06,10.9,1230
K2-290 c,K2-290,2019,Transit,272.91,48.3669,11.28,246.0,676
WASP-65 b,WASP-65,2013,Transit,273.7,2.3114,12.46,492.62,1480
K2-289 b,K2-289,2019,Transit,274.3,13.157,9.1,,753
WASP-110 b,WASP-110,2021,Transit,274.96,3.7784,13.19,154.78,1158
K2-224 b,K2-224,2018,Transit,275.26,4.479,1.56,,1002
K2-224 c,K2-224,2018,Transit,275.26,10.0949,2.41,,764
TOI-2498 b,TOI-2498,2023,Transit,275.27,3.7383,6.06,34.62,1443
WASP-136 b,WASP-136,2016,Transit,275.59,,16.81,,1630
TOI-2031 A b,TOI-2031 A,2025,Transit,276.11,5.7155,14.2,254.26,1358
XO-5 b,XO-5,2008,Transit,276.21,4.1878,12.78,378.2,1230
TOI-5350 b,TOI-5350,2025,Transit,277.42,7.5814,12.42,2094.49,1195
TOI-3364 b,TOI-3364,2023,Transit,277.9,5.8769,12.23,530.77,1264
WASP-185 b,WASP-185,2019,Transit,279.35,9.3875,14.01,311.47,1160
HATS-57 b,HATS-57,2019,Transit,279.49,2.3506,12.77,1000.21,1413
K2-270 c,K2-270,2018,Transit,280.52,4.4,2.95,,848
K2-270 b,K2-270,2018,Transit,280.52,1.5431,1.38,,1203
NGTS-4 b,NGTS-4,2019,Transit,280.56,1.3374,3.18,20.6,1650
TOI-1107 b,TOI-1107,2022,Transit,281.31,4.0782,14.57,1064.73,1728
Qatar-8 b,Qatar-8,2019,Transit,281.5,3.715,14.4,117.91,1457
WASP-98 b,WASP-98,2014,Transit,281.74,2.9626,12.82,293.04,1171
K2-326 b,K2-326,2020,Transit,282.31,1.256,2.28,,1114
TOI-6695 b,TOI-6695,2025,Transit,282.54,80.389,9.53,66.74,599
Kepler-20 e,Kepler-20,2011,Transit,282.56,6.0985,0.82,0.76,1004
Kepler-20 d,Kepler-20,2011,Transit,282.56,77.6115,2.61,13.4,430
Kepler-20 b,Kepler-20,2011,Transit,282.56,3.6961,1.77,9.7,1187
Kepler-20 f,Kepler-20,2011,Transit,282.56,19.5783,0.95,1.4,681
Kepler-20 c,Kepler-20,2011,Transit,282.56,10.8541,2.89,11.1,828
HATS-1 b,HATS-1,2012,Transit,283.97,3.4465,14.59,589.55,1359
TOI-329 b,TOI-329,2024,Transit,284.39,5.7044,4.94,40.4,1213
TOI-2497 b,TOI-2497,2023,Transit,285.29,10.6557,11.14,1531.93,1595
TOI-3321 b,TOI-3321,2024,Transit,285.9,3.6525,15.56,176.08,1616
WASP-160 B b,WASP-160 B,2018,Transit,288.33,3.7685,12.22,88.36,1119
HAT-P-32 b,HAT-P-32,2011,Transit,289.21,2.15,22.19,216.12,1836
K2-19 d,K2-19,2016,Transit,289.83,2.5083,1.04,6.2,1258
KOI-1833 d,Kepler-968,2021,Transit,290.32,7.685,2.58,11.02,613
K2-388 b,K2-388,2022,Transit,290.5,6.3393,3.9,,874
HAT-P-46 b,HAT-P-46,2014,Transit,290.74,4.4631,14.39,156.68,1458
WASP-89 b,WASP-89,2015,Transit,290.95,3.3564,11.66,1875.2,1120
WASP-75 b,WASP-75,2013,Transit,294.0,2.4842,14.24,340.06,1710
HAT-P-36 b,HAT-P-36,2011,Transit,294.42,1.3273,14.31,587.41,1781
TOI-2529 b,TOI-2529,2024,Transit,296.27,64.5949,11.55,743.72,636
TOI-2154 b,TOI-2154,2023,Transit,296.46,3.8241,16.29,292.4,1580
WASP-55 b,WASP-55,2012,Transit,297.46,4.4656,14.73,186.25,1342
K2-157 b,K2-157,2018,Transit,298.37,0.3653,0.94,1.14,2432
HAT-P-45 b,HAT-P-45,2014,Transit,298.64,3.129,15.98,283.49,1652
HATS-74 A b,HATS-74 A,2021,Transit,299.39,1.7319,11.57,464.03,895
TOI-4914 b,TOI-4914,2024,Transit,299.89,10.6006,12.87,227.0,894
TOI-3261 b,TOI-3261,2024,Transit,300.14,0.8831,3.82,30.3,1722
KELT-19 A b,KELT-19 A,2017,Transit,300.28,4.6117,21.41,1293.57,1935
HAT-P-25 b,HAT-P-25,2012,Transit,300.38,3.6528,12.72,180.85,1182
K2-214 b,K2-214,2018,Transit,300.64,8.5966,2.51,,1001
HATS-47 b,HATS-47,2020,Transit,300.67,3.9228,12.52,117.28,853
Kepler-62 c,Kepler-62,2013,Transit,300.87,12.4417,0.54,4.0,578
Kepler-62 f,Kepler-62,2013,Transit,300.87,267.291,1.41,35.0,208
Kepler-62 b,Kepler-62,2013,Transit,300.87,5.7149,1.31,9.0,750
Kepler-62 e,Kepler-62,2013,Transit,300.87,122.3874,1.61,36.0,270
Kepler-62 d,Kepler-62,2013,Transit,300.87,18.1641,1.95,14.0,510
WASP-129 b,WASP-129,2016,Transit,301.46,5.7481,10.42,317.83,1100
TOI-4087 b,TOI-4087,2023,Transit,301.68,3.1775,13.05,232.01,1458
TOI-5210 b,TOI-5210,2025,Transit,302.09,4.5661,10.73,82.0,1286
WASP-119 b,WASP-119,2016,Transit,302.45,2.4998,15.69,390.93,1600
TOI-2152 A b,TOI-2152,2023,Transit,303.01,3.3774,14.36,899.45,1802
WASP-168 b,WASP-168,2018,Transit,303.94,4.1537,16.81,133.49,1340
TIC 245076932 b,TIC 245076932,2026,Transit,303.96,21.6139,10.87,162.09,845
Wendelstein-1 b,Wendelstein-1,2020,Transit,305.3,2.6634,11.56,188.16,2198
WASP-170 b,WASP-170,2018,Transit,305.6,2.3448,12.29,508.53,1422
TIC 237913194 b,TIC 237913194,2020,Transit,306.06,15.1689,12.52,617.23,974
TOI-5634 A b,TOI-5634 A,2024,Transit,306.14,2.2035,10.42,588.0,837
NGTS-5 b,NGTS-5,2019,Transit,306.78,3.357,12.73,72.78,952
Kepler-539 b,Kepler-539,2016,Transit,307.32,125.6324,8.37,308.3,388
K2-273 b,K2-273,2018,Transit,308.11,11.7196,3.05,,849
NGTS-6 b,NGTS-6,2019,Transit,308.26,0.8821,14.86,425.57,1284
WASP-5 b,WASP-5,2008,Transit,309.14,1.6284,12.18,502.15,1706
WASP-162 b,WASP-162,2018,Transit,310.84,9.6247,11.21,1652.72,910
TOI-3837 b,TOI-3837,2025,Transit,311.71,11.8887,10.87,187.52,1178
TOI-907.01,TOI-907,2024,Transit,312.53,4.5849,9.62,,1847
TOI-2818 b,TOI-2818,2023,Transit,312.67,4.0397,15.28,225.66,1376
TOI-6692 b,TOI-6692,2026,Transit,312.9,131.125,11.68,197.05,467
TOI-2338 b,TOI-2338,2023,Transit,314.0,22.654,11.21,1900.61,799
TOI-3856 b,TOI-3856,2025,Transit,314.44,2.0436,13.6,171.63,1544
K2-237 b,K2-237,2018,Transit,315.0,2.1805,16.06,434.15,1759
K2-195 b,K2-195,2018,Transit,315.01,15.853,3.13,,720
Kepler-130 c,Kepler-130,2014,Transit,316.66,27.5087,2.9,,683
K2-6 b,K2-6,2015,Transit,316.82,30.9419,2.5,,615
TOI-1298 b,TOI-1298,2021,Transit,319.04,4.5371,9.66,99.0,1278
TOI-4127 b,TOI-4127,2023,Transit,319.63,56.3987,12.07,743.72,556
EPIC 212587672 b,EPIC 212587672,2019,Transit,320.07,15.2808,1.26,,756
EPIC 212587672 c,EPIC 212587672,2021,Transit,320.07,23.2286,2.32,,658
K2-347 b,K2-347,2021,Transit,320.34,7.1873,2.41,,640
HAT-P-4 b,HAT-P-4,2007,Transit,320.45,3.0565,14.28,213.26,1686
TOI-6628 b,TOI-6628,2025,Transit,320.53,18.1842,10.98,235.19,833
Kepler-2000 c,Kepler-2000,2023,Transit,320.59,20.618,1.57,,359
Kepler-2000 b,Kepler-2000,2023,Transit,320.59,6.3832,2.73,,530
EPIC 249893012 d,EPIC 249893012,2020,Transit,321.3,35.747,3.94,10.18,752
EPIC 249893012 b,EPIC 249893012,2020,Transit,321.3,3.5951,1.95,8.75,1616
EPIC 249893012 c,EPIC 249893012,2020,Transit,321.3,15.624,3.67,14.67,990
KELT-18 b,KELT-18,2017,Transit,321.38,2.8718,17.6,375.04,2085
NGTS-14 A b,NGTS-14 A,2021,Transit,322.15,3.5357,4.98,29.24,1143
TOI-1296 b,TOI-1296,2021,Transit,323.27,3.9444,14.12,95.3,1415
HATS-49 b,HATS-49,2020,Transit,324.41,4.148,8.57,112.19,835
WASP-183 b,WASP-183,2019,Transit,325.38,4.1118,16.48,159.55,1111
K2-12 b,K2-12,2015,Transit,326.38,8.2825,2.44,5.2,1026
WASP-164 b,WASP-164,2018,Transit,327.51,1.7771,12.64,676.98,1610
WASP-182 b,WASP-182,2019,Transit,327.6,3.377,9.53,47.04,1479
K2-268 d,K2-268,2021,Transit,327.78,4.5286,1.49,,888
K2-268 e,K2-268,2021,Transit,327.78,6.1312,1.33,,801
K2-268 b,K2-268,2018,Transit,327.78,2.1517,1.5,,1136
K2-268 c,K2-268,2018,Transit,327.78,9.3275,2.69,,696
K2-268 f,K2-268,2021,Transit,327.78,26.2706,2.23,,492
TOI-2421 b,TOI-2421,2022,Transit,327.93,4.3474,10.37,105.84,1534
TOI-4791 b,TOI-4791,2023,Transit,328.8,4.2809,12.44,734.18,1472
Qatar-4 b,Qatar-4,2017,Transit,329.04,1.8054,12.72,1938.76,1385
TOI-4994 b,TOI-4994,2024,Transit,329.3,21.492,8.54,88.99,718
K2-11 b,K2-11,2015,Transit,329.31,39.9377,7.55,,734
HAT-P-70 b,HAT-P-70,2019,Transit,330.74,2.7443,20.96,2154.89,2562
TOI-1294 b,TOI-1294,2024,Transit,332.65,3.9153,10.12,63.9,1393
K2-30 b,K2-30,2016,Transit,333.04,4.0985,11.65,184.02,1092
WASP-157 b,WASP-157,2016,Transit,334.04,3.9516,11.19,,1193
K2-16 c,K2-16,2015,Transit,334.97,19.0786,2.54,,485
K2-16 b,K2-16,2015,Transit,334.97,7.6188,2.02,,658
TOI-4137 b,TOI-4137,2022,Transit,334.99,3.8016,13.57,457.67,1570
Kepler-61 b,Kepler-61,2013,Transit,335.08,59.8776,2.15,,273
TOI-2025 b,TOI-2025,2022,Transit,335.99,8.8721,11.89,1144.18,1166
EPIC 212737443 b,EPIC 212737443,2019,Transit,336.25,13.603,2.59,,536
EPIC 212737443 c,EPIC 212737443,2019,Transit,336.25,65.55,2.69,,316
TOI-150.01,TOI-150,2019,Transit,336.27,5.8575,14.07,797.75,1405
TOI-1601 b,TOI-1601,2021,Transit,336.61,5.3318,14.2,387.0,1494
TOI-2193 A b,TOI-2193 A,2022,Transit,337.06,2.1226,19.84,298.76,1763
TOI-5292 A b,TOI-5292 A,2026,Transit,337.1,2.0219,12.64,412.86,809
